case,normalized_centerline_position,smoothed_diameter_px,reference_diameter_px
V09,0.1963941990890198,13.115346908569336,13.741638526462344
V09,0.19889065996130184,13.109582901000977,13.72738398375309
V09,0.20065592437305935,13.103866577148438,13.717304499940663
V09,0.20315238524534135,12.989755630493164,13.703049957231409
V09,0.20491764965709885,13.023232460021973,13.692970473418983
V09,0.20741411052938089,12.979348182678223,13.678715930709728
V09,0.2091793749411384,13.044471740722656,13.668636446897303
V09,0.2116758358134204,13.11781120300293,13.654381904188048
V09,0.2134411002251779,13.076746940612793,13.644302420375622
V09,0.21593756109745993,13.143014907836914,13.630047877666367
V09,0.21843402196974193,13.094879150390625,13.615793334957115
V09,0.22019928638149944,13.154075622558594,13.605713851144687
V09,0.22269574725378147,13.098868370056152,13.591459308435434
V09,0.22446101166553897,13.150993347167969,13.581379824623006
V09,0.22695747253782098,13.088714599609375,13.567125281913754
V09,0.22872273694957848,13.133769035339355,13.557045798101326
V09,0.23121919782186054,13.06441879272461,13.542791255392071
V09,0.23371565869414257,13.102400779724121,13.528536712682818
V09,0.23548092310590008,13.074265480041504,13.51845722887039
V09,0.23797738397818213,13.08335018157959,13.504202686161138
V09,0.23974264838993964,13.106327056884766,13.49412320234871
V09,0.24223910926222167,13.019401550292969,13.479868659639457
V09,0.24400437367397917,13.044312477111816,13.46978917582703
V09,0.2465008345462612,12.959321975708008,13.455534633117775
V09,0.2482660989580187,12.986167907714844,13.44545514930535
V09,0.25076255983030077,12.917289733886719,13.431200606596095
V09,0.2525278242420583,12.951976776123047,13.421121122783669
V09,0.25502428511434033,12.94650650024414,13.406866580074414
V09,0.25678954952609784,12.943771362304688,13.396787096261988
V09,0.25928601039837984,12.943771362304688,13.382532553552734
V09,0.26105127481013735,12.937722206115723,13.372453069740306
V09,0.2635477356824194,12.907504081726074,13.358198527031053
V09,0.26604419655470146,12.899721145629883,13.343943984321799
V09,0.26780946096645897,12.902284622192383,13.333864500509373
V09,0.27030592183874097,12.906188011169434,13.319609957800118
V09,0.2720711862504985,12.977747917175293,13.309530473987692
V09,0.27456764712278053,12.98158073425293,13.295275931278438
V09,0.27633291153453804,13.131916999816895,13.28519644746601
V09,0.2788293724068201,13.27569580078125,13.270941904756757
V09,0.2805946368185776,13.4679536819458,13.26086242094433
V09,0.28309109769085966,13.675324440002441,13.246607878235077
V09,0.2848563621026171,13.919939994812012,13.236528394422649
V09,0.2866216265143746,14.148433685302734,13.226448910610223
