centerline_arc_length_pixel,normalized_centerline_position,apparent_diameter_pixel,reference_diameter_pixel,diameter_stenosis_percent
258.4507934888329,0.4637420888451286,12.034889,12.078978591800295,0.3650090963719285
259.4507934888329,0.46553640366453797,12.034179,12.082832584098238,0.40266924112302876
260.4507934888329,0.46733071848394736,12.075854,12.086686576396179,0.0896215424721647
261.4507934888329,0.46912503330335675,12.082123,12.090540568694122,0.0696227427708474
262.865007051206,0.47166257765613256,12.052981,12.095990936871154,0.35556872064199435
263.865007051206,0.47345689247554196,12.039195,12.099844929169095,0.5012450059827254
264.865007051206,0.47525120729495135,12.065673,12.103698921467037,0.31416881122935963
265.865007051206,0.47704552211436074,12.112432,12.10755291376498,0.0
266.865007051206,0.47883983693377014,12.155823,12.111406906062921,0.0
267.865007051206,0.48063415175317953,12.181454,12.115260898360864,0.0
268.865007051206,0.4824284665725889,12.198577,12.119114890658805,0.0
270.2792206135791,0.48496601092536473,12.207193,12.124565258835837,0.0
271.2792206135791,0.4867603257447741,12.207303,12.12841925113378,0.0
272.2792206135791,0.4885546405641835,12.204586,12.13227324343172,0.0
273.2792206135791,0.4903489553835929,12.177692,12.136127235729663,0.0
274.2792206135791,0.4921432702030023,12.080341,12.139981228027604,0.4912683783940753
275.2792206135791,0.49393758502241164,12.077577,12.143835220325547,0.5456149713443218
276.2792206135791,0.49573189984182103,12.121115,12.14768921262349,0.21876162061269908
277.2792206135791,0.4975262146612304,12.210955,12.151543204921431,0.0
278.69343417595223,0.5000637590140062,12.26362,12.156993573098463,0.0
279.69343417595223,0.5018580738334156,12.29175,12.160847565396406,0.0
280.69343417595223,0.503652388652825,12.304597,12.164701557694347,0.0
281.69343417595223,0.5054467034722344,12.302161,12.16855554999229,0.0
282.69343417595223,0.5072410182916438,12.284443,12.17240954229023,0.0
283.69343417595223,0.5090353331110532,12.266377,12.176263534588173,0.0
284.69343417595223,0.5108296479304626,12.282883,12.180117526886116,0.0
285.69343417595223,0.512623962749872,12.30905,12.183971519184057,0.0
286.69343417595223,0.5144182775692814,12.303369,12.187825511482,0.0
287.69343417595223,0.5162125923886908,12.278477,12.191679503779941,0.0
289.10764773832534,0.5187501367414665,12.243629,12.197129871956973,0.0
290.10764773832534,0.5205444515608759,12.198825,12.200983864254916,0.01769514468350762
291.10764773832534,0.5223387663802853,12.144065,12.204837856552857,0.49794150490045097
292.10764773832534,0.5241330811996947,12.079348,12.2086918488508,1.0594438780051747
293.10764773832534,0.5259273960191041,12.004674,12.212545841148742,1.7021175275644431
294.10764773832534,0.5277217108385135,11.934979,12.216399833446683,2.3036278977580436
295.10764773832534,0.5295160256579229,11.905182,12.220253825744626,2.5782765683249016
296.10764773832534,0.5313103404773323,11.959601,12.224107818042567,2.1638095777382254
297.10764773832534,0.5331046552967417,11.990747,12.22796181034051,1.939933753781307
298.10764773832534,0.5348989701161511,12.0,12.231815802638451,1.8951871609156128
299.10764773832534,0.5366932849355605,12.0,12.235669794936394,1.9260882230895382
300.10764773832534,0.5384875997549698,12.0,12.239523787234337,1.9569698249547642
301.10764773832534,0.5402819145743792,12.0,12.243377779532278,1.987831984888529
302.10764773832534,0.5420762293937886,12.0,12.24723177183022,2.0186747212449805
303.10764773832534,0.543870544213198,12.0,12.251085764128163,2.0494980523551294
